productID,productName,userID,productCategory,productCondition,brand,features,description,productPrice,productImage,addTime,productStatus,numberOfVisit
25,Keylex,358,7,New,Larkin-Williamson,"venenatis turpis enim blandit mi in porttitor pede justo",NULL,68.39,http://dummyimage.com/116x100.png/cc0000/ffffff,"2021-05-13 07:04:31",Sold,62
26,"Fix San",499,1,New,"Larkin Inc",NULL,NULL,60.07,http://dummyimage.com/169x100.png/dddddd/000000,"2021-03-07 17:47:19",unSold,43
27,Zamit,247,1,Old,"Powlowski Inc",NULL,NULL,79.9,http://dummyimage.com/150x100.png/5fa2dd/ffffff,"2020-07-16 04:07:17",Sold,15
28,Redhold,878,2,Old,"Bartoletti, Johnson and DuBuque","etiam justo etiam pretium iaculis justo in","faucibus orci luctus et",3.96,http://dummyimage.com/221x100.png/5fa2dd/ffffff,"2021-08-20 18:30:55",Sold,22
29,Y-Solowarm,781,2,Old,"Schuppe, Stehr and VonRueden","rutrum rutrum neque aenean auctor gravida sem praesent id",NULL,27.13,http://dummyimage.com/177x100.png/cc0000/ffffff,"2021-07-09 17:16:51",unSold,93
30,Sonsing,538,2,New,"Ledner, Stark and Jacobi",ante,"purus phasellus in",48.59,http://dummyimage.com/169x100.png/5fa2dd/ffffff,"2021-02-03 09:47:58",unSold,76
31,Redhold,487,7,Old,Hoppe-West,"id consequat",quam,32.38,http://dummyimage.com/174x100.png/5fa2dd/ffffff,"2021-07-01 03:11:36",Sold,97
32,"Home Ing",582,3,Old,"Smith, Gislason and Frami","lacus at velit vivamus vel nulla eget eros elementum pellentesque","odio porttitor",81.66,http://dummyimage.com/152x100.png/dddddd/000000,"2020-07-04 23:22:40",Sold,66
33,Tampflex,821,4,Old,"Brown, Leuschke and Huels","congue etiam justo etiam pretium iaculis","fusce posuere felis sed",54.86,http://dummyimage.com/231x100.png/5fa2dd/ffffff,"2020-06-04 08:19:03",unSold,94
34,Ventosanzap,361,4,Old,Oberbrunner-Sipes,"ante vel ipsum praesent blandit lacinia erat vestibulum sed magna",NULL,49.33,http://dummyimage.com/167x100.png/cc0000/ffffff,"2020-01-22 03:51:53",Sold,86
35,Tempsoft,941,3,New,"Jaskolski Inc",NULL,NULL,90.47,NULL,"2020-06-14 17:31:30",unSold,8
36,Bytecard,942,3,New,"Lind Inc","nunc donec quis orci eget orci vehicula condimentum curabitur","sit amet lobortis sapien sapien non mi integer",89.23,http://dummyimage.com/132x100.png/dddddd/000000,"2021-08-23 22:22:38",Sold,4
37,Sonair,760,9,Old,Swaniawski-Stokes,"platea dictumst maecenas ut massa quis augue","imperdiet et",67.66,http://dummyimage.com/144x100.png/ff4444/ffffff,"2020-09-14 18:09:12",unSold,86
38,Sub-Ex,175,1,New,Steuber-Bednar,"magna at nunc commodo placerat praesent blandit nam nulla","faucibus orci luctus et ultrices posuere cubilia curae",52.69,http://dummyimage.com/145x100.png/cc0000/ffffff,"2020-06-28 14:08:59",unSold,43
39,Regrant,202,7,Old,Dibbert-Jerde,"nulla nunc purus phasellus in felis donec semper","ante vestibulum ante ipsum primis in faucibus",68.94,http://dummyimage.com/169x100.png/ff4444/ffffff,"2020-12-19 23:49:14",unSold,10
40,Kanlam,540,3,Old,Greenholt-Tremblay,NULL,NULL,33.34,http://dummyimage.com/170x100.png/ff4444/ffffff,"2021-08-07 00:12:31",Sold,4
41,Cardify,972,3,Old,"Moen, Fisher and Lesch",NULL,NULL,72.81,http://dummyimage.com/159x100.png/dddddd/000000,"2020-02-22 18:29:00",Sold,33
42,Ventosanzap,83,5,New,Langosh-Lynch,"mollis molestie lorem quisque ut erat curabitur","nulla suspendisse",60.36,http://dummyimage.com/163x100.png/dddddd/000000,"2020-02-25 12:54:37",unSold,11
43,Daltfresh,191,5,Old,Kertzmann-Donnelly,"in porttitor pede justo eu massa donec dapibus duis",NULL,89.53,http://dummyimage.com/185x100.png/cc0000/ffffff,"2020-01-20 05:32:12",Sold,6
44,"Mat Lam Tam",212,1,New,"Heidenreich, Rice and Nader","ac nulla sed vel enim sit amet",NULL,88.45,http://dummyimage.com/126x100.png/5fa2dd/ffffff,"2020-10-23 05:35:04",unSold,32
45,Vagram,963,3,New,"Crooks and Sons","consequat metus sapien ut nunc vestibulum ante ipsum",NULL,60.37,http://dummyimage.com/109x100.png/ff4444/ffffff,"2021-03-30 15:07:30",unSold,99
46,Greenlam,700,8,New,"Krajcik and Sons","cras mi pede malesuada in imperdiet et commodo vulputate",NULL,28.06,http://dummyimage.com/135x100.png/dddddd/000000,"2020-12-06 12:10:00",unSold,44
47,Bitchip,907,9,New,"Volkman, Pollich and Mraz",NULL,"vel enim sit amet nunc viverra dapibus nulla suscipit ligula",89.72,http://dummyimage.com/238x100.png/cc0000/ffffff,"2020-08-17 04:55:01",unSold,11
48,Domainer,467,9,Old,Kuhic-Dach,NULL,NULL,74.33,http://dummyimage.com/197x100.png/ff4444/ffffff,"2020-11-14 13:00:14",unSold,65
49,Namfix,359,7,New,"Dicki Group","congue risus semper porta volutpat quam pede lobortis ligula",NULL,70.18,http://dummyimage.com/226x100.png/5fa2dd/ffffff,"2020-05-18 16:22:02",Sold,4
50,Otcom,612,3,New,Mills-Kulas,"sapien cursus vestibulum proin eu mi nulla","vel augue vestibulum rutrum rutrum neque aenean",63.62,NULL,"2020-11-29 11:51:18",Sold,47
51,Zaam-Dox,982,6,New,"Koss LLC","mauris non",NULL,48.44,http://dummyimage.com/113x100.png/cc0000/ffffff,"2020-01-13 17:18:11",unSold,84
52,Zamit,631,7,New,"Funk LLC","odio justo sollicitudin ut suscipit","sed tristique in",43.09,http://dummyimage.com/129x100.png/ff4444/ffffff,"2021-03-04 09:56:09",unSold,82
53,Ronstring,708,9,New,"Rosenbaum, Bruen and Hoeger","pede malesuada in imperdiet et","arcu libero rutrum ac lobortis",5.39,http://dummyimage.com/166x100.png/dddddd/000000,"2020-11-07 22:18:26",unSold,39
54,Regrant,113,2,Old,Gulgowski-Hills,NULL,NULL,97.15,http://dummyimage.com/205x100.png/ff4444/ffffff,"2021-01-19 14:27:31",Sold,41
55,Keylex,15,9,New,"Walter, Ernser and MacGyver",NULL,"faucibus orci luctus et",13.29,http://dummyimage.com/192x100.png/ff4444/ffffff,"2020-01-31 11:46:33",unSold,13
56,Tampflex,688,3,New,"Blanda, Boehm and Konopelski",NULL,"tempus vel pede morbi",54.06,http://dummyimage.com/220x100.png/cc0000/ffffff,"2020-10-22 16:44:17",unSold,20
57,Tres-Zap,981,2,New,Wolf-Klein,NULL,"quam nec",40.92,http://dummyimage.com/134x100.png/ff4444/ffffff,"2020-02-23 08:52:02",Sold,18
58,Tresom,41,8,Old,"Lubowitz, DuBuque and Gusikowski","eleifend quam a odio in hac habitasse platea","maecenas ut massa quis augue luctus",42,http://dummyimage.com/149x100.png/5fa2dd/ffffff,"2021-02-01 17:08:17",Sold,36
59,Domainer,574,9,New,"Witting, Russel and Nolan","curae duis faucibus accumsan odio curabitur convallis duis","quam pharetra",43.54,http://dummyimage.com/123x100.png/5fa2dd/ffffff,"2020-03-10 18:41:27",Sold,71
60,Tres-Zap,565,3,New,"Schimmel, Balistreri and Kreiger",NULL,"accumsan tellus nisi",72.26,http://dummyimage.com/198x100.png/5fa2dd/ffffff,"2020-04-14 18:20:22",Sold,67
61,Konklab,337,5,Old,"Walter, Hickle and Murazik",NULL,NULL,21.41,http://dummyimage.com/150x100.png/dddddd/000000,"2020-12-11 17:48:50",Sold,31
62,Y-find,230,5,New,"Kuhic, Brakus and Sawayn",sodales,"amet nulla quisque arcu libero rutrum",17.06,http://dummyimage.com/113x100.png/5fa2dd/ffffff,"2021-01-14 07:25:15",unSold,60
63,Sonsing,677,7,New,"Gleason and Sons","curae duis faucibus accumsan","justo lacinia eget tincidunt eget tempus vel",86.89,http://dummyimage.com/145x100.png/ff4444/ffffff,"2020-01-04 01:22:22",unSold,83
64,Sonair,131,5,Old,"Haag, Hilpert and Kuhlman","ultrices posuere cubilia curae mauris",NULL,5.78,http://dummyimage.com/146x100.png/dddddd/000000,"2021-06-03 19:56:01",Sold,36
65,Bigtax,985,8,Old,Homenick-Price,"in lectus pellentesque at nulla","nulla tellus in",6.19,http://dummyimage.com/194x100.png/5fa2dd/ffffff,"2021-08-23 14:10:18",Sold,44
66,Daltfresh,941,9,New,"Harris, Grady and Skiles","orci mauris lacinia sapien quis libero nullam","nisl venenatis lacinia aenean sit amet justo morbi ut odio",66,http://dummyimage.com/140x100.png/5fa2dd/ffffff,"2020-01-31 13:45:35",Sold,79
67,Zontrax,90,5,New,"Watsica, McCullough and Heller","morbi odio",NULL,61.84,NULL,"2020-04-25 07:37:37",unSold,88
68,Alpha,259,2,Old,"Von LLC","proin interdum mauris non ligula pellentesque ultrices phasellus","lorem ipsum",4.47,http://dummyimage.com/155x100.png/cc0000/ffffff,"2020-12-07 03:57:05",Sold,71
69,Alphazap,982,9,Old,"Mills, Smith and Altenwerth","eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor","congue elementum in hac habitasse platea dictumst morbi vestibulum velit",51.78,http://dummyimage.com/153x100.png/ff4444/ffffff,"2021-04-23 23:45:18",Sold,46
70,"Quo Lux",222,5,Old,"Kris, Hettinger and Doyle","sit amet diam","diam vitae",3.27,http://dummyimage.com/185x100.png/ff4444/ffffff,"2020-03-20 14:48:17",unSold,24
71,Y-find,398,1,Old,Hettinger-Wisoky,NULL,NULL,43.45,http://dummyimage.com/240x100.png/ff4444/ffffff,"2021-01-15 20:17:36",unSold,31
72,Duobam,667,8,New,"Nikolaus and Sons","pellentesque volutpat",NULL,49.44,http://dummyimage.com/202x100.png/cc0000/ffffff,"2020-01-19 19:35:45",unSold,56
73,Sub-Ex,186,6,Old,Nicolas-Feest,"convallis eget eleifend luctus ultricies eu nibh quisque id justo",NULL,66.16,http://dummyimage.com/104x100.png/ff4444/ffffff,"2021-05-18 02:15:06",Sold,19
74,Asoka,819,5,Old,Upton-Bosco,"sed lacus morbi sem","erat curabitur gravida",18.12,http://dummyimage.com/231x100.png/dddddd/000000,"2020-11-14 13:32:54",Sold,3
75,Biodex,575,1,Old,"Prosacco and Sons","odio donec vitae nisi nam ultrices libero non mattis","pretium quis lectus suspendisse potenti in eleifend quam a odio",99.41,http://dummyimage.com/154x100.png/cc0000/ffffff,"2020-09-03 10:40:34",Sold,97
76,Tresom,183,8,Old,Glover-Hauck,"tortor quis",NULL,17.06,http://dummyimage.com/148x100.png/cc0000/ffffff,"2021-02-14 21:14:58",unSold,59
77,Otcom,125,7,Old,"Jaskolski, Schulist and Hahn","iaculis justo in hac habitasse platea","sapien arcu sed augue aliquam",63.42,http://dummyimage.com/122x100.png/dddddd/000000,"2020-10-16 18:16:42",unSold,26
78,Alphazap,321,7,New,"Williamson LLC","donec posuere metus vitae",NULL,17.27,http://dummyimage.com/211x100.png/dddddd/000000,"2021-06-03 02:54:27",unSold,97
79,Stronghold,752,7,New,"Goldner, Crona and O'Keefe","vivamus vel nulla eget eros elementum","non mi",97.92,http://dummyimage.com/124x100.png/5fa2dd/ffffff,"2020-07-31 03:35:14",unSold,37
80,Stim,642,1,Old,Wehner-West,"convallis duis consequat dui nec nisi",viverra,58.86,http://dummyimage.com/161x100.png/cc0000/ffffff,"2021-03-20 12:22:20",unSold,62
81,Sonsing,204,2,Old,Brakus-Jaskolski,NULL,"congue risus semper porta volutpat quam",31.9,http://dummyimage.com/186x100.png/dddddd/000000,"2021-04-09 03:41:33",Sold,26
82,Keylex,344,7,New,Robel-Casper,"sit amet consectetuer adipiscing","felis ut at dolor quis",86.91,http://dummyimage.com/201x100.png/cc0000/ffffff,"2020-01-14 03:43:02",Sold,75
83,Treeflex,50,9,Old,"Greenfelder, Ledner and Bernhard","elementum nullam varius nulla facilisi cras non velit nec nisi",NULL,78.96,http://dummyimage.com/147x100.png/cc0000/ffffff,"2020-08-22 02:08:27",Sold,30
84,Stringtough,225,7,Old,"Moore Group","rutrum neque aenean auctor gravida sem","magna bibendum imperdiet nullam orci pede venenatis non sodales sed",32.89,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"2020-06-03 01:26:31",unSold,21
85,Lotstring,195,1,New,"Kessler Inc",NULL,NULL,88.45,http://dummyimage.com/196x100.png/ff4444/ffffff,"2020-08-14 12:26:33",Sold,90
86,Kanlam,357,5,Old,"Cummings, Fadel and Huel",NULL,NULL,23.83,http://dummyimage.com/104x100.png/dddddd/000000,"2020-09-13 22:31:46",Sold,29
87,Latlux,472,2,New,"Hermiston Inc",NULL,"vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat",14.67,http://dummyimage.com/241x100.png/cc0000/ffffff,"2020-02-03 12:35:45",unSold,95
88,Solarbreeze,697,5,New,Rippin-Feeney,"nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum",et,36.38,http://dummyimage.com/104x100.png/ff4444/ffffff,"2020-01-05 16:08:30",unSold,98
89,Stronghold,268,6,Old,Pollich-Smith,"vel nulla eget","curae duis faucibus accumsan odio curabitur convallis",53.74,http://dummyimage.com/106x100.png/ff4444/ffffff,"2020-12-23 23:02:40",Sold,14
90,Rank,390,1,Old,"Towne Inc","sit amet sem",erat,3.95,http://dummyimage.com/118x100.png/ff4444/ffffff,"2021-06-20 20:54:29",unSold,54
91,Bitchip,387,8,New,"Morar, Bahringer and Hickle","aliquam quis turpis eget elit sodales scelerisque","lobortis vel",62.01,http://dummyimage.com/156x100.png/ff4444/ffffff,"2020-03-11 00:11:48",Sold,56
92,Temp,668,2,New,"Abshire, Quigley and Dickens","dolor vel est donec odio justo sollicitudin ut suscipit",ultrices,54.3,http://dummyimage.com/171x100.png/5fa2dd/ffffff,"2021-02-28 08:25:28",unSold,40
93,Fintone,257,3,New,Kassulke-Sporer,"massa tempor convallis nulla neque libero convallis eget eleifend","volutpat dui maecenas tristique est et tempus semper est quam",93.35,http://dummyimage.com/247x100.png/dddddd/000000,"2021-01-09 22:55:27",unSold,38
94,Otcom,114,6,New,"Harris and Sons","eros elementum pellentesque quisque porta volutpat erat quisque",NULL,90.25,http://dummyimage.com/105x100.png/5fa2dd/ffffff,"2020-05-22 08:15:07",Sold,29
95,Opela,860,1,New,"Murphy, Crist and Langosh","eu sapien cursus",NULL,83.63,http://dummyimage.com/171x100.png/cc0000/ffffff,"2020-04-18 09:52:25",unSold,98
96,Temp,298,5,New,"Baumbach, Vandervort and Wyman",arcu,NULL,58.17,http://dummyimage.com/206x100.png/cc0000/ffffff,"2020-08-01 00:46:13",Sold,64
97,Kanlam,794,5,New,Cronin-Gottlieb,"laoreet ut rhoncus aliquet pulvinar sed","sapien quis libero nullam sit amet turpis elementum ligula",20.19,http://dummyimage.com/119x100.png/ff4444/ffffff,"2021-03-19 04:16:10",Sold,70
98,Vagram,964,4,Old,"Wilderman, Sporer and Thompson","amet diam in magna bibendum imperdiet nullam orci",NULL,36.11,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"2020-09-24 10:25:16",Sold,37
99,Gembucket,783,9,Old,"Turner, Erdman and Reilly","nunc purus","lorem quisque ut erat curabitur gravida nisi at nibh in",48.65,http://dummyimage.com/222x100.png/ff4444/ffffff,"2021-06-27 13:12:22",Sold,100
100,Redhold,633,5,New,"Lueilwitz, Sporer and Zboncak","aliquet pulvinar sed nisl","integer tincidunt ante vel ipsum praesent blandit",18.7,http://dummyimage.com/178x100.png/cc0000/ffffff,"2020-08-09 01:42:11",Sold,42
101,Duobam,210,8,New,Halvorson-Murray,NULL,"enim in tempor turpis nec euismod",16.68,http://dummyimage.com/246x100.png/ff4444/ffffff,"2020-12-13 13:39:48",Sold,3
102,Zoolab,662,3,New,"Weimann, Altenwerth and Leuschke",NULL,"eget massa tempor convallis nulla neque libero convallis eget",61.02,http://dummyimage.com/188x100.png/dddddd/000000,"2021-01-10 10:27:21",unSold,48
103,Job,926,3,Old,"Roberts, Borer and Breitenberg",NULL,"vestibulum proin eu mi nulla ac",11.39,http://dummyimage.com/123x100.png/5fa2dd/ffffff,"2020-04-12 19:53:31",Sold,83
104,Bigtax,992,4,New,"Sanford, Mayert and Koelpin","lectus in est risus auctor sed tristique in",NULL,83.32,http://dummyimage.com/242x100.png/5fa2dd/ffffff,"2021-04-24 00:09:25",Sold,73
105,Bitwolf,186,9,Old,"Walter, Ritchie and Baumbach","vestibulum aliquet ultrices",NULL,39.07,http://dummyimage.com/239x100.png/ff4444/ffffff,"2021-03-06 01:09:38",Sold,75
106,Duobam,809,7,New,"Mayert, Keebler and Schmeler","dolor sit","vehicula consequat morbi a",36.43,http://dummyimage.com/241x100.png/5fa2dd/ffffff,"2021-04-24 00:25:23",Sold,91
107,"Mat Lam Tam",475,3,Old,"Rutherford Inc","arcu adipiscing molestie hendrerit at vulputate vitae nisl",NULL,4.27,http://dummyimage.com/215x100.png/dddddd/000000,"2020-04-25 18:37:42",Sold,42
108,Bamity,138,7,Old,"Lang LLC","lacinia eget tincidunt","semper porta volutpat quam pede lobortis",57.97,NULL,"2020-04-11 01:50:21",Sold,86
109,Vagram,853,8,New,Dooley-Huels,mattis,NULL,84.21,NULL,"2020-03-14 21:58:48",Sold,5
110,Y-find,355,4,Old,Reynolds-Hintz,NULL,lobortis,35.11,http://dummyimage.com/145x100.png/ff4444/ffffff,"2021-07-19 15:14:28",unSold,29
111,Asoka,402,8,Old,Carroll-Feeney,NULL,convallis,99.71,http://dummyimage.com/119x100.png/dddddd/000000,"2021-06-20 10:47:31",unSold,7
112,Overhold,692,2,Old,"Dibbert, Dickens and Hahn",NULL,NULL,87.72,http://dummyimage.com/181x100.png/cc0000/ffffff,"2020-12-02 22:33:40",Sold,69
113,Otcom,801,4,Old,Keebler-Barrows,"lacinia erat vestibulum sed magna at nunc commodo placerat praesent","duis faucibus accumsan odio curabitur convallis",36.87,http://dummyimage.com/109x100.png/cc0000/ffffff,"2021-03-03 15:15:22",Sold,93
114,Flowdesk,300,5,New,"Watsica, Haag and Hackett",NULL,"non sodales sed tincidunt",39.89,http://dummyimage.com/225x100.png/cc0000/ffffff,"2021-08-22 00:44:07",Sold,13
115,Temp,974,7,Old,Sanford-McLaughlin,"et commodo vulputate justo in blandit ultrices enim lorem",NULL,34.36,http://dummyimage.com/232x100.png/5fa2dd/ffffff,"2021-02-01 06:05:43",unSold,46
116,Treeflex,86,3,Old,"Weimann, Ernser and Torphy","justo sollicitudin ut",posuere,63.83,http://dummyimage.com/100x100.png/dddddd/000000,"2020-04-06 12:42:57",unSold,98
117,"Mat Lam Tam",479,5,New,Roberts-Langworth,"orci vehicula condimentum curabitur","nam tristique tortor eu pede",21.2,http://dummyimage.com/242x100.png/cc0000/ffffff,"2020-12-15 01:28:03",Sold,57
118,Duobam,163,1,Old,"Kihn LLC","pede justo lacinia eget tincidunt eget tempus vel pede morbi","felis eu sapien cursus vestibulum",18.15,http://dummyimage.com/115x100.png/dddddd/000000,"2020-06-12 06:03:40",unSold,2
119,Holdlamis,397,4,New,Greenholt-Dicki,NULL,"amet diam",52.94,http://dummyimage.com/232x100.png/ff4444/ffffff,"2020-03-03 12:13:26",unSold,80
120,Cardify,812,3,New,Shanahan-Kertzmann,erat,NULL,50.43,http://dummyimage.com/151x100.png/ff4444/ffffff,"2020-04-18 20:53:25",unSold,68
121,"Mat Lam Tam",717,8,New,"Koss and Sons","bibendum morbi non quam nec dui","nulla suscipit ligula",3.02,http://dummyimage.com/204x100.png/5fa2dd/ffffff,"2021-07-27 11:03:10",Sold,20
122,Aerified,929,8,New,"Nicolas, Hickle and Ferry","lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum",NULL,35.32,http://dummyimage.com/200x100.png/ff4444/ffffff,"2021-01-11 20:44:28",unSold,9
123,Flowdesk,560,7,Old,Parker-Bauch,"erat nulla","varius ut blandit non interdum in ante vestibulum",60.21,http://dummyimage.com/156x100.png/5fa2dd/ffffff,"2021-01-12 00:58:31",unSold,48
124,Tres-Zap,851,9,Old,"Blick, Senger and King","tempus semper est quam pharetra magna ac consequat metus sapien","lectus aliquam sit",64,http://dummyimage.com/152x100.png/cc0000/ffffff,"2021-04-01 11:16:51",unSold,61
125,Daltfresh,219,8,New,"Hilll LLC","in felis donec","faucibus accumsan odio curabitur convallis duis",97.93,http://dummyimage.com/105x100.png/dddddd/000000,"2020-12-23 16:27:40",Sold,62
126,Domainer,216,1,New,"Heller Inc","curabitur gravida nisi","pede justo",83.57,http://dummyimage.com/224x100.png/5fa2dd/ffffff,"2021-06-28 18:14:44",Sold,60
127,Solarbreeze,529,3,Old,Mohr-Schaefer,"adipiscing elit proin risus praesent lectus vestibulum quam sapien","sed tristique",39.94,http://dummyimage.com/137x100.png/dddddd/000000,"2020-08-07 02:10:04",unSold,14
128,Ronstring,507,8,New,Conn-Murray,"eget vulputate ut ultrices vel augue","accumsan tellus nisi",62.36,http://dummyimage.com/124x100.png/dddddd/000000,"2021-03-18 18:26:45",unSold,18
129,Fintone,189,8,New,"Denesik Group",NULL,NULL,38.31,http://dummyimage.com/112x100.png/ff4444/ffffff,"2021-06-30 22:50:49",Sold,78
130,Flowdesk,525,7,New,"Koelpin LLC",NULL,"pellentesque eget nunc",41.35,http://dummyimage.com/108x100.png/cc0000/ffffff,"2021-03-21 13:48:50",unSold,46
131,Y-Solowarm,568,6,New,"Bruen and Sons",porttitor,"velit nec nisi vulputate",59.6,http://dummyimage.com/153x100.png/ff4444/ffffff,"2020-05-09 04:44:20",Sold,41
132,Bigtax,79,2,Old,Hahn-Wolf,"bibendum morbi non quam nec dui luctus rutrum nulla","rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus",95.99,http://dummyimage.com/179x100.png/cc0000/ffffff,"2021-06-10 11:20:13",Sold,15
133,Sonair,642,7,Old,"Mante, Lemke and Sipes","orci luctus et ultrices",NULL,63.44,http://dummyimage.com/118x100.png/ff4444/ffffff,"2020-11-23 01:57:59",Sold,8
134,Konklux,615,3,New,"Schiller, Ritchie and Yundt",interdum,NULL,38.55,http://dummyimage.com/168x100.png/ff4444/ffffff,"2020-07-23 23:07:07",unSold,66
135,Daltfresh,27,3,Old,"Haley and Sons","commodo vulputate justo in blandit ultrices enim lorem ipsum dolor","adipiscing lorem vitae mattis",28.3,http://dummyimage.com/169x100.png/dddddd/000000,"2020-09-17 22:48:14",Sold,90
136,Zaam-Dox,203,7,Old,"Stokes Group","lectus vestibulum quam sapien",NULL,82.66,http://dummyimage.com/237x100.png/cc0000/ffffff,"2020-12-29 13:30:14",unSold,91
137,Daltfresh,217,7,New,Flatley-Nader,"sed vestibulum sit amet cursus id turpis integer aliquet massa",NULL,29.75,http://dummyimage.com/176x100.png/5fa2dd/ffffff,"2020-11-06 09:07:45",unSold,22
